pair,set_id,person,person_file,person_pose,person_tone,person_gender,person_framing,garment,garment_file,garment_category,garment_hard_case,garment_src
181,p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,p013.jpg,arms_crossed,light,woman,waist_up,dualuse_scarlett_johansson_black_dress_backview_night,dualuse_scarlett_johansson_black_dress_backview_night.avif,,,test_set2/people
182,p014+dualuse_woman_top_denim_skirt_nonceleb,p014,p014.jpg,arms_crossed,medium,man,waist_up,dualuse_woman_top_denim_skirt_nonceleb,dualuse_woman_top_denim_skirt_nonceleb.jpg,,,test_set2/people
183,p015+dualuse_zendaya_white_blazer_skirt,p015,p015.jpg,arms_crossed,dark,man,waist_up,dualuse_zendaya_white_blazer_skirt,dualuse_zendaya_white_blazer_skirt.jpeg,,,test_set2/people
184,p016+dualuse_lp_beige_long_coat_menswear,p016,p016.jpg,side_profile,light,woman,full_body,dualuse_lp_beige_long_coat_menswear,dualuse_lp_beige_long_coat_menswear.webp,,,test_set2/clothes (on-model)
185,p017+dualuse_lp_floral_kimono_set,p017,p017.jpg,three_quarter,medium,man,full_body,dualuse_lp_floral_kimono_set,dualuse_lp_floral_kimono_set.webp,,,test_set2/clothes (on-model)
186,p018+dualuse_lp_navy_quarterzip_knit_LOWRES,p018,p018.jpg,side_profile,dark,man,three_quarter_length,dualuse_lp_navy_quarterzip_knit_LOWRES,dualuse_lp_navy_quarterzip_knit_LOWRES.avif,,,test_set2/clothes (on-model)
187,p019+dualuse_lp_plaid_overcoat_brown_suit,p019,p019.jpg,side_profile,light,woman,waist_up,dualuse_lp_plaid_overcoat_brown_suit,dualuse_lp_plaid_overcoat_brown_suit.jpg,,,test_set2/clothes (on-model)
188,p020+dualuse_navy_peacoat_onmodel,p020,p020.jpg,side_profile,medium,man,waist_up,dualuse_navy_peacoat_onmodel,dualuse_navy_peacoat_onmodel.webp,,,test_set2/clothes (on-model)
189,p021+g004,p021,p021.jpg,sitting,dark,woman,full_body,g004,g004.jpg,tight_top,,test_set1/garments (on-model)
190,p022+g005,p022,p022.jpg,sitting,light,man,full_body,g005,g005.jpg,tight_top,graphic_logo,test_set1/garments (on-model)
191,p023+g009,p023,p023.jpg,sitting,medium,woman,waist_up,g009,g009.jpg,loose_top,,test_set1/garments (on-model)
192,p024+g011,p024,p024.jpg,sitting,dark,man,full_body,g011,g011.jpg,dress,,test_set1/garments (on-model)
193,p025+g012,p025,p025.jpg,walking,light,woman,full_body,g012,g012.jpg,dress,fine_pattern,test_set1/garments (on-model)
194,p026+g013,p026,p026.jpg,walking,medium,woman,full_body,g013,g013.jpg,dress,fine_pattern,test_set1/garments (on-model)
195,p027+g014,p027,p027.jpg,walking,dark,man,full_body,g014,g014.jpg,dress,,test_set1/garments (on-model)
196,p028+g015,p028,p028.jpg,arms_raised,light,woman,waist_up,g015,g015.jpg,dress,,test_set1/garments (on-model)
197,p029+g018,p029,p029.jpg,holding_object,medium,man,waist_up,g018,g018.jpg,outerwear,open_front,test_set1/garments (on-model)
198,p030+g024,p030,p030.jpg,arms_raised,dark,woman,waist_up,g024,g024.jpg,lower_body,,test_set1/garments (on-model)
199,dualuse_emma_watson_black_blazer_armscrossed+g027,dualuse_emma_watson_black_blazer_armscrossed,dualuse_emma_watson_black_blazer_armscrossed.jpg,,,,,g027,g027.jpg,hard_case,graphic_text,test_set1/garments (on-model)
200,dualuse_gal_gadot_blue_dress_redcarpet+g029,dualuse_gal_gadot_blue_dress_redcarpet,dualuse_gal_gadot_blue_dress_redcarpet.jpg,,,,,g029,g029.jpg,hard_case,fine_pattern,test_set1/garments (on-model)
