set_id,person,garment,seed
dualuse_queen_latifah_gown_stage+g012,dualuse_queen_latifah_gown_stage,g012,48
dualuse_scarlett_johansson_black_dress_backview_night+g013,dualuse_scarlett_johansson_black_dress_backview_night,g013,46
dualuse_scarlett_johansson_black_dress_backview_night+g013,dualuse_scarlett_johansson_black_dress_backview_night,g013,47
dualuse_scarlett_johansson_black_dress_backview_night+g013,dualuse_scarlett_johansson_black_dress_backview_night,g013,48
dualuse_woman_top_denim_skirt_nonceleb+g014,dualuse_woman_top_denim_skirt_nonceleb,g014,46
dualuse_woman_top_denim_skirt_nonceleb+g014,dualuse_woman_top_denim_skirt_nonceleb,g014,47
dualuse_woman_top_denim_skirt_nonceleb+g014,dualuse_woman_top_denim_skirt_nonceleb,g014,48
dualuse_zendaya_white_blazer_skirt+g015,dualuse_zendaya_white_blazer_skirt,g015,46
dualuse_zendaya_white_blazer_skirt+g015,dualuse_zendaya_white_blazer_skirt,g015,47
dualuse_zendaya_white_blazer_skirt+g015,dualuse_zendaya_white_blazer_skirt,g015,48
dualuse_lp_beige_long_coat_menswear+g018,dualuse_lp_beige_long_coat_menswear,g018,46
dualuse_lp_beige_long_coat_menswear+g018,dualuse_lp_beige_long_coat_menswear,g018,47
dualuse_lp_beige_long_coat_menswear+g018,dualuse_lp_beige_long_coat_menswear,g018,48
dualuse_lp_floral_kimono_set+g024,dualuse_lp_floral_kimono_set,g024,46
dualuse_lp_floral_kimono_set+g024,dualuse_lp_floral_kimono_set,g024,47
dualuse_lp_floral_kimono_set+g024,dualuse_lp_floral_kimono_set,g024,48
dualuse_lp_navy_quarterzip_knit_LOWRES+g027,dualuse_lp_navy_quarterzip_knit_LOWRES,g027,46
dualuse_lp_navy_quarterzip_knit_LOWRES+g027,dualuse_lp_navy_quarterzip_knit_LOWRES,g027,47
dualuse_lp_navy_quarterzip_knit_LOWRES+g027,dualuse_lp_navy_quarterzip_knit_LOWRES,g027,48
dualuse_lp_plaid_overcoat_brown_suit+g029,dualuse_lp_plaid_overcoat_brown_suit,g029,46
dualuse_lp_plaid_overcoat_brown_suit+g029,dualuse_lp_plaid_overcoat_brown_suit,g029,47
dualuse_lp_plaid_overcoat_brown_suit+g029,dualuse_lp_plaid_overcoat_brown_suit,g029,48
dualuse_navy_peacoat_onmodel+g030,dualuse_navy_peacoat_onmodel,g030,46
dualuse_navy_peacoat_onmodel+g030,dualuse_navy_peacoat_onmodel,g030,47
dualuse_navy_peacoat_onmodel+g030,dualuse_navy_peacoat_onmodel,g030,48
g004+p001,g004,p001,46
g004+p001,g004,p001,47
g004+p001,g004,p001,48
g005+p002,g005,p002,46
g005+p002,g005,p002,47
g005+p002,g005,p002,48
g009+p003,g009,p003,46
g009+p003,g009,p003,47
g009+p003,g009,p003,48
g011+p004,g011,p004,46
g011+p004,g011,p004,47
g011+p004,g011,p004,48
g012+p005,g012,p005,46
g012+p005,g012,p005,47
g012+p005,g012,p005,48
g013+p006,g013,p006,46
g013+p006,g013,p006,47
g013+p006,g013,p006,48
g014+p007,g014,p007,46
g014+p007,g014,p007,47
g014+p007,g014,p007,48
g015+p008,g015,p008,46
g015+p008,g015,p008,47
g015+p008,g015,p008,48
g018+p009,g018,p009,46
g018+p009,g018,p009,47
g018+p009,g018,p009,48
g024+p010,g024,p010,46
g024+p010,g024,p010,47
g024+p010,g024,p010,48
g027+p011,g027,p011,46
g027+p011,g027,p011,47
g027+p011,g027,p011,48
g029+p012,g029,p012,46
g029+p012,g029,p012,47
g029+p012,g029,p012,48
g030+p013,g030,p013,46
g030+p013,g030,p013,47
g030+p013,g030,p013,48
p001+p024,p001,p024,46
p001+p024,p001,p024,47
p001+p024,p001,p024,48
p002+p025,p002,p025,46
p002+p025,p002,p025,47
p002+p025,p002,p025,48
p003+p026,p003,p026,46
p003+p026,p003,p026,47
p003+p026,p003,p026,48
p004+p027,p004,p027,46
p004+p027,p004,p027,47
p004+p027,p004,p027,48
p005+p028,p005,p028,46
p005+p028,p005,p028,47
p005+p028,p005,p028,48
p006+p029,p006,p029,46
p006+p029,p006,p029,47
p006+p029,p006,p029,48
p007+p030,p007,p030,46
p007+p030,p007,p030,47
p007+p030,p007,p030,48
p008+dualuse_emma_watson_black_blazer_armscrossed,p008,dualuse_emma_watson_black_blazer_armscrossed,46
p008+dualuse_emma_watson_black_blazer_armscrossed,p008,dualuse_emma_watson_black_blazer_armscrossed,47
p008+dualuse_emma_watson_black_blazer_armscrossed,p008,dualuse_emma_watson_black_blazer_armscrossed,48
p009+dualuse_gal_gadot_blue_dress_redcarpet,p009,dualuse_gal_gadot_blue_dress_redcarpet,46
p009+dualuse_gal_gadot_blue_dress_redcarpet,p009,dualuse_gal_gadot_blue_dress_redcarpet,47
p009+dualuse_gal_gadot_blue_dress_redcarpet,p009,dualuse_gal_gadot_blue_dress_redcarpet,48
p010+dualuse_hugh_jackman_grey_suit_outdoor,p010,dualuse_hugh_jackman_grey_suit_outdoor,46
p010+dualuse_hugh_jackman_grey_suit_outdoor,p010,dualuse_hugh_jackman_grey_suit_outdoor,47
p010+dualuse_hugh_jackman_grey_suit_outdoor,p010,dualuse_hugh_jackman_grey_suit_outdoor,48
p011+dualuse_man_black_suit_studio_nonceleb,p011,dualuse_man_black_suit_studio_nonceleb,46
p011+dualuse_man_black_suit_studio_nonceleb,p011,dualuse_man_black_suit_studio_nonceleb,47
p011+dualuse_man_black_suit_studio_nonceleb,p011,dualuse_man_black_suit_studio_nonceleb,48
p012+dualuse_queen_latifah_gown_stage,p012,dualuse_queen_latifah_gown_stage,46
p012+dualuse_queen_latifah_gown_stage,p012,dualuse_queen_latifah_gown_stage,47
p012+dualuse_queen_latifah_gown_stage,p012,dualuse_queen_latifah_gown_stage,48
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,dualuse_scarlett_johansson_black_dress_backview_night,46
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,dualuse_scarlett_johansson_black_dress_backview_night,47
p013+dualuse_scarlett_johansson_black_dress_backview_night,p013,dualuse_scarlett_johansson_black_dress_backview_night,48
p014+dualuse_woman_top_denim_skirt_nonceleb,p014,dualuse_woman_top_denim_skirt_nonceleb,46
p014+dualuse_woman_top_denim_skirt_nonceleb,p014,dualuse_woman_top_denim_skirt_nonceleb,47
p014+dualuse_woman_top_denim_skirt_nonceleb,p014,dualuse_woman_top_denim_skirt_nonceleb,48
p015+dualuse_zendaya_white_blazer_skirt,p015,dualuse_zendaya_white_blazer_skirt,46
p015+dualuse_zendaya_white_blazer_skirt,p015,dualuse_zendaya_white_blazer_skirt,47
p015+dualuse_zendaya_white_blazer_skirt,p015,dualuse_zendaya_white_blazer_skirt,48
p016+dualuse_lp_beige_long_coat_menswear,p016,dualuse_lp_beige_long_coat_menswear,46
p016+dualuse_lp_beige_long_coat_menswear,p016,dualuse_lp_beige_long_coat_menswear,47
p016+dualuse_lp_beige_long_coat_menswear,p016,dualuse_lp_beige_long_coat_menswear,48
p017+dualuse_lp_floral_kimono_set,p017,dualuse_lp_floral_kimono_set,46
p017+dualuse_lp_floral_kimono_set,p017,dualuse_lp_floral_kimono_set,47
p017+dualuse_lp_floral_kimono_set,p017,dualuse_lp_floral_kimono_set,48
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,p018,dualuse_lp_navy_quarterzip_knit_LOWRES,46
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,p018,dualuse_lp_navy_quarterzip_knit_LOWRES,47
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,p018,dualuse_lp_navy_quarterzip_knit_LOWRES,48
p019+dualuse_lp_plaid_overcoat_brown_suit,p019,dualuse_lp_plaid_overcoat_brown_suit,46
p019+dualuse_lp_plaid_overcoat_brown_suit,p019,dualuse_lp_plaid_overcoat_brown_suit,47
p019+dualuse_lp_plaid_overcoat_brown_suit,p019,dualuse_lp_plaid_overcoat_brown_suit,48
p020+dualuse_navy_peacoat_onmodel,p020,dualuse_navy_peacoat_onmodel,46
p020+dualuse_navy_peacoat_onmodel,p020,dualuse_navy_peacoat_onmodel,47
p020+dualuse_navy_peacoat_onmodel,p020,dualuse_navy_peacoat_onmodel,48
p021+g004,p021,g004,46
p021+g004,p021,g004,47
p021+g004,p021,g004,48
p022+g005,p022,g005,46
p022+g005,p022,g005,47
p022+g005,p022,g005,48
p023+g009,p023,g009,46
p023+g009,p023,g009,47
p023+g009,p023,g009,48
p024+g011,p024,g011,46
p024+g011,p024,g011,47
p024+g011,p024,g011,48
p025+g012,p025,g012,46
p025+g012,p025,g012,47
p025+g012,p025,g012,48
p026+g013,p026,g013,46
p026+g013,p026,g013,47
p026+g013,p026,g013,48
p027+g014,p027,g014,46
p027+g014,p027,g014,47
p027+g014,p027,g014,48
p028+g015,p028,g015,46
p028+g015,p028,g015,47
p028+g015,p028,g015,48
p029+g018,p029,g018,46
p029+g018,p029,g018,47
p029+g018,p029,g018,48
p030+g024,p030,g024,46
p030+g024,p030,g024,47
p030+g024,p030,g024,48
dualuse_emma_watson_black_blazer_armscrossed+g027,dualuse_emma_watson_black_blazer_armscrossed,g027,46
dualuse_emma_watson_black_blazer_armscrossed+g027,dualuse_emma_watson_black_blazer_armscrossed,g027,47
dualuse_emma_watson_black_blazer_armscrossed+g027,dualuse_emma_watson_black_blazer_armscrossed,g027,48
dualuse_gal_gadot_blue_dress_redcarpet+g029,dualuse_gal_gadot_blue_dress_redcarpet,g029,46
dualuse_gal_gadot_blue_dress_redcarpet+g029,dualuse_gal_gadot_blue_dress_redcarpet,g029,47
dualuse_gal_gadot_blue_dress_redcarpet+g029,dualuse_gal_gadot_blue_dress_redcarpet,g029,48
