set_id,position,arm
p008+dualuse_emma_watson_black_blazer_armscrossed,D,VEi
p009+dualuse_gal_gadot_blue_dress_redcarpet,A,VEi
p009+dualuse_gal_gadot_blue_dress_redcarpet,B,V
p009+dualuse_gal_gadot_blue_dress_redcarpet,C,BCA4
p009+dualuse_gal_gadot_blue_dress_redcarpet,D,BC
p010+dualuse_hugh_jackman_grey_suit_outdoor,A,BC
p010+dualuse_hugh_jackman_grey_suit_outdoor,B,VEi
p010+dualuse_hugh_jackman_grey_suit_outdoor,C,V
p010+dualuse_hugh_jackman_grey_suit_outdoor,D,BCA4
p011+dualuse_man_black_suit_studio_nonceleb,A,BCA4
p011+dualuse_man_black_suit_studio_nonceleb,B,VEi
p011+dualuse_man_black_suit_studio_nonceleb,C,V
p011+dualuse_man_black_suit_studio_nonceleb,D,BC
p012+dualuse_queen_latifah_gown_stage,A,V
p012+dualuse_queen_latifah_gown_stage,B,VEi
p012+dualuse_queen_latifah_gown_stage,C,BC
p012+dualuse_queen_latifah_gown_stage,D,BCA4
p013+dualuse_scarlett_johansson_black_dress_backview_night,A,VEi
p013+dualuse_scarlett_johansson_black_dress_backview_night,B,BCA4
p013+dualuse_scarlett_johansson_black_dress_backview_night,C,BC
p013+dualuse_scarlett_johansson_black_dress_backview_night,D,V
p014+dualuse_woman_top_denim_skirt_nonceleb,A,BCA4
p014+dualuse_woman_top_denim_skirt_nonceleb,B,V
p014+dualuse_woman_top_denim_skirt_nonceleb,C,VEi
p014+dualuse_woman_top_denim_skirt_nonceleb,D,BC
p015+dualuse_zendaya_white_blazer_skirt,A,BCA4
p015+dualuse_zendaya_white_blazer_skirt,B,BC
p015+dualuse_zendaya_white_blazer_skirt,C,VEi
p015+dualuse_zendaya_white_blazer_skirt,D,V
p016+dualuse_lp_beige_long_coat_menswear,A,BC
p016+dualuse_lp_beige_long_coat_menswear,B,VEi
p016+dualuse_lp_beige_long_coat_menswear,C,V
p016+dualuse_lp_beige_long_coat_menswear,D,BCA4
p017+dualuse_lp_floral_kimono_set,A,BC
p017+dualuse_lp_floral_kimono_set,B,VEi
p017+dualuse_lp_floral_kimono_set,C,V
p017+dualuse_lp_floral_kimono_set,D,BCA4
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,A,VEi
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,B,BCA4
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,C,BC
p018+dualuse_lp_navy_quarterzip_knit_LOWRES,D,V
p019+dualuse_lp_plaid_overcoat_brown_suit,A,BCA4
p019+dualuse_lp_plaid_overcoat_brown_suit,B,BC
p019+dualuse_lp_plaid_overcoat_brown_suit,C,VEi
p019+dualuse_lp_plaid_overcoat_brown_suit,D,V
p020+dualuse_navy_peacoat_onmodel,A,BCA4
p020+dualuse_navy_peacoat_onmodel,B,VEi
p020+dualuse_navy_peacoat_onmodel,C,BC
p020+dualuse_navy_peacoat_onmodel,D,V
p021+g004,A,V
p021+g004,B,BC
p021+g004,C,VEi
p021+g004,D,BCA4
p022+g005,A,V
p022+g005,B,VEi
p022+g005,C,BCA4
p022+g005,D,BC
p023+g009,A,BC
p023+g009,B,VEi
p023+g009,C,BCA4
p023+g009,D,V
p024+g011,A,BCA4
p024+g011,B,VEi
p024+g011,C,BC
p024+g011,D,V
p025+g012,A,BCA4
p025+g012,B,VEi
p025+g012,C,V
p025+g012,D,BC
p026+g013,A,V
p026+g013,B,BCA4
p026+g013,C,VEi
p026+g013,D,BC
p027+g014,A,V
p027+g014,B,BC
p027+g014,C,BCA4
p027+g014,D,VEi
p028+g015,A,BCA4
p028+g015,B,BC
p028+g015,C,V
p028+g015,D,VEi
p029+g018,A,BC
p029+g018,B,VEi
p029+g018,C,BCA4
p029+g018,D,V
p030+g024,A,BC
p030+g024,B,VEi
p030+g024,C,V
p030+g024,D,BCA4
dualuse_emma_watson_black_blazer_armscrossed+g027,A,BC
dualuse_emma_watson_black_blazer_armscrossed+g027,B,V
dualuse_emma_watson_black_blazer_armscrossed+g027,C,VEi
dualuse_emma_watson_black_blazer_armscrossed+g027,D,BCA4
dualuse_gal_gadot_blue_dress_redcarpet+g029,A,BCA4
dualuse_gal_gadot_blue_dress_redcarpet+g029,B,VEi
dualuse_gal_gadot_blue_dress_redcarpet+g029,C,V
dualuse_gal_gadot_blue_dress_redcarpet+g029,D,BC
